annotator	sent_id	updated_at	group_mentioned	group_appealed	intersectional	multiple_groups	opposed_groups	pejorative	group_tags	reasoning	polarity	stance	text	left_context	right_context	further_context	year	date	disagreement
gold	commons_1980_11897:045	2026-06-30	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	Obviously parents are worried.	Rumours begin to abound that catchment areas are about to be changed.	"In a letter from my hon Friend the Under-Secretary on 30 November he said: ""it is the authority's intention to retain the intake level at the Challney boys' school at 210""."	In times of falling rolls, I hope that the authority will keep to its word. I am wary of some of the changes which the authority might bring in.	1980	1980-02-27	0
gold	commons_1980_18654:094	2026-06-30	yes	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	The virtues of faith, hope, love, humility, self-control, truthfulness and right judgment should be taught.	I also believe that the classical virtues need to be taught in schools much more vigorously, both by precept and by practice.	Who can challenge the value of teaching these great concepts to children at an age when they are receptive and able to practise them in their daily lives for their own well-being and that of their fellow men?	The fruits of the spirit are also great concepts and excellent teaching material for boys and girls, and also adults. The fruits of the spirit are love, joy, peace, patience, kindness, goodness, faithfulness, gentleness and self-control.	1980	1980-04-03	1
gold	commons_1980_29865:006	2026-06-30	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	Various commentators are suggesting that unless the Government's policies are changed we shall have 2½ million unemployed in 12 months.	It is predicted that the level of unemployment over the next few months will hit 2 million.	I suspect that changes are coming in any event.	The cheers that the Prime Minister and the Chancellor of the Exchequer get when they talk of creating an atmosphere that encourages entrepreneurs as their economic policy are not quite so full as they were 12 months ago shortly after the May 1979 election. Conservative Members must be starting to besiege the Department of Industry with pleas to save jobs in their constituencies.	1980	1980-06-18	0
gold	commons_1980_31403:005	2026-06-30	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	Only a week or so ago we were discussing the state of the British construction industry, in which close on 200,000 people are out of work.	That, inevitably, has had an effect on construction workers.	Let us consider next the minimum lending rate.	In March 1977, as a result of political co-operation—[ Interruption. ] I am speaking of political cooperation and what it can achieve, not just carping from the Back Benches. The minimum lending rate then stood at 10·5 per cent.	1980	1980-06-25	0
gold	commons_1980_36202:001	2026-06-30	yes	yes	yes	no	no	no	['INC_PRECARIOUS', 'OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	In the interests of brevity, Mr Deputy Speaker, I shall not follow the remarks of the hon Member for Dearne Valley (Mr Wainwright), except to say that all Conservative Members share the sympathy of all hon Members for those in the hon Member's constituency and elsewhere who may find themselves unemployed both at present and in the foreseeable future.	As I said in my reply to the hon Members for Lambeth, Central (Mr Tilley) and for Battersea, South (Mr Dubs) on 16 June, we do not consider that we should be justified in providing such a loan in the absence of an economic programme which has international support.	Having said that, and having got off to what I hope is a bipartisan start, I must add that I totally reject the terms of the Opposition's motion.	I do not believe for a moment that it is the Government's deliberate intention, or any part of their policy, to create mass unemployment. Equally, I support very strongly the terms of the Government's amendment to the motion, with one vital qualification, to which I hope my right hon Friend the Secretary of State will pay attention.	1980	1980-07-14	6
gold	commons_1980_38477:010	2026-06-30	yes	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	As the hon Member for Edinburgh, Central (Mr Cook) said, for a start, the Church of Scotland, in common with many of the other Churches, certainly the Methodist Church and the Church of England, has since considerably changed its view on the moral issue behind the new clause.	However, I am not sure that that is necessarily the case today.	However, we should be aware that it was not a fine point of law which led Scotland to be excluded from the 1966 legislation in the first place.	I recall some of the rather ribald debates that we had on the Report stage of the 1965 Bill, when hon Members moved amendments about sleeping cars and what happened when passengers reached Berwick. There was a great deal of hilarity on the subject.	1980	1980-07-22	1
gold	commons_1980_44470:053	2026-06-30	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	If it is transitional, it it not the fault of those people who have, as it were, shouldered the burdens and the sins that their fathers for a generation, in Governments of both parties, who have built inflation into the system have laid upon them.	If the Government are right, unemployment is transitional.	If that is so, it behoves this Goverment, or any Government undertaking the task of stopping inflation, to protect those people.	That is a duty that falls on the Government perhaps as their principal duty. In my book, it is their first duty, precedent even to the duty to increase defence expenditure in line with commitments to NATO.	1980	1980-10-29	0
gold	commons_2025_00619:022	2026-06-30	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	We are there to protect consumers in all sorts of ways, but we are also there to try to establish a fair marketplace, so we are working on behalf of legitimate businesses.	One borough in London now has no trading standards officers, and that is a great worry.	A lot of retailers want to support us in dealing with bad practice among their competitors.	Yes, we need more resources. Wendy Martin: Clearly, the responsibility is on businesses to comply with the law, first and foremost, and the hope would be that the vast majority of those outlets do so, because they are either part of bigger businesses with corporate structures to ensure compliance, or part of trading associations where that training and information is available.	2025	2025-01-07	1
gold	commons_2025_03364:017	2026-06-30	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	It is simply not sustainable, however, to impose ever larger taxes to force consumers to switch to technologies if they do not want to do so.	Applications actually increased by 75% as a result.	That is even more dangerous given that the Labour party’s plans will make electricity much more expensive and, therefore, electrified heating much less desirable.	The Electrification of Heat demonstration project report, published last month, found that the average installed cost of a high-temperature heat pump was more than £17,000. Even with the £7,500 Government grant, that means the cost of installing a heat pump is about three times that of installing a new gas boiler.	2025	2025-01-13	0
gold	commons_2025_15818:005	2026-06-30	yes	yes	yes	no	no	no	['OCC_AGRICULTURE', 'OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	Farmers are not multimillionaires.	That is why I join all Opposition Members in calling on the Government to change course immediately.	Many struggle to break even.	As my right hon Friends the Members for Beverley and Holderness and for Dumfriesshire, Clydesdale and Tweeddale (David Mundell) have said, the vast majority of returns for our farming businesses are less than 1%, yet in most cases the value of the land on which they sit will be severely affected by the IHT changes, because the threshold that the Government are bringing out is £1 million. When the average size of a farm in England is 200 acres, and we take into account the farmland, the cottage that might exist on the farm, the plant and machinery, the livestock and the growing crops or stocks that may be in store, the value will be significantly higher than £1 million.	2025	2025-02-10	9
