annotator	sent_id	updated_at	group_mentioned	group_appealed	intersectional	multiple_groups	opposed_groups	pejorative	group_tags	reasoning	polarity	stance	text	left_context	right_context	further_context	year	date	disagreement
gold	commons_1980_01301:002	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	Will he therefore make an early statement assuring my constituency farmers of the wisdom of continuing to plant beet?	Will the Minister bear in mind that sugar beet is a traditional East Anglian crop, and that there is no way that my constituency farmers will go on planting beet unless they have confidence in the commercial viability of that crop?	---	---	1980	1980-01-17	0
gold	commons_1980_02128:014	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	It diverted management—senior management at that—from producing goods because of the varied and long-winded reports that the Commission required before it made up its mind.	The Commission greatly altered the planning of many industries.	Individual companies in the food industry spent over £350,000 answering the questions that the Commission asked of them and in presenting their cases.	The chemical industry spent over £600,000. The banks spent over £350,000 on the credit card system investigation.	1980	1980-01-22	1
gold	commons_1980_04419:001	2026-07-07	yes	yes	no	no	no	no	['AGE_SENIOR']	REASONING_UNCLEAR	POLARITY_PRO_GROUP	STANCE_ENDORSE	As my hon Friend will know, we have made quite a few changes in the scheme which ought to help the elderly.	---	In particular, we have given freedom to local authorities to decide their own priorities.	We have asked them to pay particular attention to pensioner applicants, and we have also said that they need not require the applicant to produce receipted accounts. That ought to help pensioners and others on low incomes.	1980	1980-01-30	1
gold	commons_1980_09664:031	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	The quality objectives proposed do not accord either with the EQO system used in this country or with the compromise contained in the parent directive.	A second example concerns the most important criticism we have of these texts.	The vital feature of EQO philosophy and practice in this country is that objectives and standards set for different stretches of water vary according to the use of that water.	To give a simple example—a section of a river where water is abstracted for drinking will have different quality requirements to meet from one used as a coarse fishery. This principle is already embodied in EEC water directives.	1980	1980-02-19	0
gold	commons_1980_13736:046	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	Having left school she had spent 12 months unemployed.	She has just started work under a work experience scheme in a hospital for the mentally subnormal.	I shall structure my speech along the lines of that of the Secretary of State, but I shall not take as long.	Just before the election, unemployment had been following a downward path. It had been falling at an accelerating rate.	1980	1980-03-05	1
gold	commons_1980_15691:010	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	If that happens, what will the Minister do following his posturing over the French resistance to British lamb?	It is likely during this year that the European Court will once more be pressed to rule that UHT milk from France should be granted free access to Britain.	The Minister should be warned that there will be a solid phalanx of opposition to the unrestricted entry of long-life milk.	Trade unions, including the agricultural workers' union, USDAW, the General and Municipal Workers' Union, the Transport and General Workers' Union, the co-operative movement and the Labour Party will oppose its entry. The price of milk under this Government has increased by 22 per cent.	1980	1980-03-20	1
gold	commons_1980_20516:002	2026-07-07	yes	yes	yes	no	no	no	['EDU_LOW', 'ETH_MIN']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	That report shows that the unskilled ethnic groups, the young blacks, are faced with a future involving a 40 per cent.	Does my hon Friend accept the recent report on the influence of microprocessors on Tameside, which like Kirklees, we share as our local authority?	projected new decline because of microchips and microprocessing in the clothing and textile industries.	These kids will not have jobs. The real problem that the country faces, but which the present Government will not face, is that there are no initiatives to provide the necessary jobs.	1980	1980-04-21	5
gold	commons_1980_24051:002	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	Is the hon Gentleman aware that recoupment costs are only one of the ways of measuring unit costs in education?	I recognise that the Government have a strong interest in various transfer fees.	Does he accept that whatever is spent on the assisted places scheme is extra money spent in the most favoured part of the education system?	As all the teachers' unions and other experts have forecast, it will result in the creaming-off of the most able pupils from the maintained sector and the threatening of the viability of sixth form courses. In view of the continued disputation over these matters, will he prevail upon his right hon and learned Friend to publish the results of the study of the National Children's Bureau, which demonstrates conclusively that more able children are not penalised by being in the maintained sector?	1980	1980-05-06	0
gold	commons_1980_27585:045	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	There are other considerations than those of rural areas.	When we discussed the problems of rural areas earlier today, we again experienced the arrogance and the dogmatism of the Government.	We believe that there should not be compulsory sales of council houses where insufficient new housing is being built.	The new clause would not prevent local authorities voluntarily selling council houses where they felt it necessary, but it would eliminate compulsion to sell against the wishes of local authorities and the inhabitants of the area. New clause 24, in the name of the Scottish National Party, deals with the problem in a different way.	1980	1980-06-10	2
gold	commons_1980_28285:002	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	I accept that it is largely occupied by elderly people—though not exclusively so—but there are many single people whom local authorities can occasionally accommodate, and there are other categories also within the group.	The amendment does not refer solely to elderly people ; it refers to a certain class of accommodation.	I have explained the position of the Government, but I do not expect hon Gentlemen to agree with it.	Government amendment No. 63 seeks to clarify special needs housing where major adaptations have been made for the elderly or the disabled. The Government have made it clear that where housing has been specifically adapted to the needs of the disabled or elderly that the pre-emption right should apply.	1980	1980-06-11	0
gold	commons_1980_28417:002	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	Given the vast number of tenants who will exercise this right, the Government would have been concerned if the loans had done so.	The loans will not have public expenditure implications.	I am happy to reassure the hon Gentleman on that point.	---	1980	1980-06-11	0
gold	commons_1980_34120:042	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	To return to clause 1, I repeat that the Government cannot accept that a duty should be placed on every education authority to establish a joint committee with the function of co-ordinating the provision of services.	Here, there is a direct overlap with other Departments, and it is important that the House should understand that.	Education authorities are already obliged by statute to establish an education committee and to consider its reports before acting in the exercise of their educational functions.	The joint committee envisaged by the Bill could not fulfil its function of coordinating services without encroaching on the prerogative of the education committee. I may add that voluntary bodies are independent organisations, and usually attach great importance to their independence.	1980	1980-07-04	0
gold	commons_1980_36690:048	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	5.30 pm In a number of other ways the decision represents something about which all new town residents must be concerned.	It represents a very serious blow to their future.	The clause will deprive the local authority of the possibility of using the return from profitable assets to offset the losses on other assets, which presumably will eventually be left in the ownership of the local authority.	I hope that the Minister will not dodge the question that I am about to put to him. What is to happen to the assets that are not sold?	1980	1980-07-15	1
gold	commons_1980_37123:002	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	What is to be the size of the cut in the budget of the British Council?	Will the Minister now make clear what has so far not been clear?	What was the budget programmed to be in this year, and what will be the revised figure for 1983–84?	Ought he not to think a good deal further about a whole range of policies which would help this country—through overseas broadcasting services, the British Council, our diplomatic presence and help to overseas students—to increase its influence abroad?	1980	1980-07-16	1
gold	commons_1980_38696:003	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	That has happened in the English courts.	Does he agree that the principal objection to having five peremptory challenges is that it gives a number of defendants who are appearing together an opportunity to pack a jury?	Does he accept that it is also happening in the courts of Scotland?	---	1980	1980-07-23	1
gold	commons_1980_40305:013	2026-07-07	yes	yes	no	no	no	no	['INC_INSECURE']	REASONING_BOTH	POLARITY_ANTI_GROUP	STANCE_UNCLEAR	The Prime Minister says that the unemployed ought to seek jobs elsewhere and that there should be greater mobility of labour.	It is obvious that there is a mood of despair, particularly in areas such as Liverpool.	I pointed out at Welsh Question Time yesterday that workers from Liverpool, particularly the unskilled, used to find jobs at Shotton and elsewhere in North Wales.	Now that the steel works are to close, where will they find jobs? It is no good workers from Shotton looking to Merseyside for employment and it is no good Merseyside workers looking to North Wales.	1980	1980-07-29	3
gold	commons_1980_40411:011	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	I hope that the House will accept that I gave the figures in good faith, based on that letter sent from the chairman of the commission to the Secretary of State.	"cut in HSE staff by that year."""	If 10 per cent.	plus 8 per cent. does not add up to 18 per cent.	1980	1980-07-29	0
gold	commons_1980_41529:002	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	We would expect this advice to be given by medical people or by professionally trained counsellors.	I understand that point.	We must have confidence that they will carry out their job in a proper professional manner.	I will come back later to the subject of abuses. We certainly believe that organisations which receive Government support will follow the Government's guidelines.	1980	1980-08-04	0
gold	commons_1980_41713:012	2026-07-07	yes	yes	no	no	no	no	['EDU_IN_EDUCATION']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	Far from trying to close these schools, the Labour Party should be trying to help more public schools to open, so that more boys and girls would have the opportunity of going to them.	The product of the public schools has never been so badly needed as today.	We all know that for years the products of the public schools went into the Empire, they went abroad, they went into the Civil Service, the Church, the Armed Forces and the City.	Now the need is equally great in other spheres, particularly manufacturing industry. I am certain that one of the reasons why industry in this country has had such an unsuccessful record since the war has been the lack of public schoolboys in our factories—boys who could become foremen and managers and give the sort of leadership for which they are trained.	1980	1980-08-04	5
