sent_id	annotator	annotation_id	created_at	updated_at	lead_time	dataset	year	date	left_context	text	right_context	further_context	age	gender_sexuality	family	disability	ethnicity	migration	religion	geography	education	income	occupation	other_groups	frame_flags	polarity_flags	stance_flags	focus_flags	group_appeal_detection	scheme_feedback	id
lords_2025_33002:002	Raven	97307677	2026-06-11T09:45:30.958413Z	2026-06-11T09:50:10.875613Z	127.375	House of Lords	2025	2025-11-26	My Lords, victims of domestic abuse can fail to qualify to bid for a permanent home because of debt issues often not of their own making.	Families and children across the country can be trapped in temporary accommodation because of debt accumulated by the abuser.	Should there not be a national rule whereby coerced debt should be excused to help abused families out of the debt trap and into a permanent home?	As the noble Baroness knows, I broadly agree with pretty much everything she says. That is why the Government are working on the three strands of dealing with domestic abuse: the first is prevention, the second is robust enforcement against those who perpetrate it, and the third is support for victims.			families									non-RISS	economic	pro-group	endorse	multiple group appeals			270179536
lords_2025_33002:002	Horse	97163411	2026-06-08T21:23:49.140917Z	2026-06-08T21:23:49.140930Z	71.904	House of Lords	2025	2025-11-26	My Lords, victims of domestic abuse can fail to qualify to bid for a permanent home because of debt issues often not of their own making.	Families and children across the country can be trapped in temporary accommodation because of debt accumulated by the abuser.	Should there not be a national rule whereby coerced debt should be excused to help abused families out of the debt trap and into a permanent home?	As the noble Baroness knows, I broadly agree with pretty much everything she says. That is why the Government are working on the three strands of dealing with domestic abuse: the first is prevention, the second is robust enforcement against those who perpetrate it, and the third is support for victims.	children								in education			non-RISS	economic	pro-group	endorse	multiple group appeals			270179536
lords_2025_33002:002	Tiger	97159362	2026-06-08T18:42:37.299679Z	2026-06-08T18:42:37.299690Z	279.233	House of Lords	2025	2025-11-26	My Lords, victims of domestic abuse can fail to qualify to bid for a permanent home because of debt issues often not of their own making.	Families and children across the country can be trapped in temporary accommodation because of debt accumulated by the abuser.	Should there not be a national rule whereby coerced debt should be excused to help abused families out of the debt trap and into a permanent home?	As the noble Baroness knows, I broadly agree with pretty much everything she says. That is why the Government are working on the three strands of dealing with domestic abuse: the first is prevention, the second is robust enforcement against those who perpetrate it, and the third is support for victims.												non-RISS						Victims of domestic abuse are not listed, so I can't select them, even if they would be a good fit.	270179536
lords_2025_33002:002	Zebra	96891478	2026-06-03T08:24:51.247899Z	2026-06-03T08:24:51.247911Z	32.738	House of Lords	2025	2025-11-26	My Lords, victims of domestic abuse can fail to qualify to bid for a permanent home because of debt issues often not of their own making.	Families and children across the country can be trapped in temporary accommodation because of debt accumulated by the abuser.	Should there not be a national rule whereby coerced debt should be excused to help abused families out of the debt trap and into a permanent home?	As the noble Baroness knows, I broadly agree with pretty much everything she says. That is why the Government are working on the three strands of dealing with domestic abuse: the first is prevention, the second is robust enforcement against those who perpetrate it, and the third is support for victims.	children		families							poor/low-income			economic	pro-group	reject	intersectional			270179536
lords_2025_33002:002	team	96819179	2026-06-02T05:22:36.980840Z	2026-06-02T10:52:49.692436Z	284.116	House of Lords	2025	2025-11-26	My Lords, victims of domestic abuse can fail to qualify to bid for a permanent home because of debt issues often not of their own making.	Families and children across the country can be trapped in temporary accommodation because of debt accumulated by the abuser.	Should there not be a national rule whereby coerced debt should be excused to help abused families out of the debt trap and into a permanent home?	As the noble Baroness knows, I broadly agree with pretty much everything she says. That is why the Government are working on the three strands of dealing with domestic abuse: the first is prevention, the second is robust enforcement against those who perpetrate it, and the third is support for victims.	children		families							poor/low-income		non-RISS	economic	pro-group	endorse	intersectional			270179536
commons_2025_18596:002	Whale	97194239	2026-06-09T11:08:42.817966Z	2026-06-09T11:08:42.817978Z	594.192	House of Commons	2025	2025-02-24	I am very grateful to my hon Friend for mentioning the children who have been abducted.	On the past two occasions I have been in Ukraine, I have met children who were viciously taken from their homes.	There was an attempt to effectively brainwash them from their histories.	We are supporting organisations that seek to get those children back and reunite them with their families. I also launched a children in care initiative.	children				named origin group			region-specific				non-RISS	cultural	pro-group	endorse				270179537
commons_2025_18596:002	Horse	97163229	2026-06-08T21:12:49.557591Z	2026-06-08T21:12:49.557602Z	89.553	House of Commons	2025	2025-02-24	I am very grateful to my hon Friend for mentioning the children who have been abducted.	On the past two occasions I have been in Ukraine, I have met children who were viciously taken from their homes.	There was an attempt to effectively brainwash them from their histories.	We are supporting organisations that seek to get those children back and reunite them with their families. I also launched a children in care initiative.	children												cultural	pro-group	endorse				270179537
commons_2025_18596:002	Tiger	97159029	2026-06-08T18:28:59.045304Z	2026-06-08T18:28:59.045314Z	191.295	House of Commons	2025	2025-02-24	I am very grateful to my hon Friend for mentioning the children who have been abducted.	On the past two occasions I have been in Ukraine, I have met children who were viciously taken from their homes.	There was an attempt to effectively brainwash them from their histories.	We are supporting organisations that seek to get those children back and reunite them with their families. I also launched a children in care initiative.	children		families										unclear	pro-group	endorse				270179537
commons_2025_18596:002	team	97152847	2026-06-08T15:13:40.869278Z	2026-06-08T15:13:40.869291Z	91.335	House of Commons	2025	2025-02-24	I am very grateful to my hon Friend for mentioning the children who have been abducted.	On the past two occasions I have been in Ukraine, I have met children who were viciously taken from their homes.	There was an attempt to effectively brainwash them from their histories.	We are supporting organisations that seek to get those children back and reunite them with their families. I also launched a children in care initiative.	children											non-RISS	cultural	pro-group	endorse				270179537
commons_2025_18596:002	team	96839517	2026-06-02T10:54:08.642615Z	2026-06-02T10:54:08.642625Z	289.762	House of Commons	2025	2025-02-24	I am very grateful to my hon Friend for mentioning the children who have been abducted.	On the past two occasions I have been in Ukraine, I have met children who were viciously taken from their homes.	There was an attempt to effectively brainwash them from their histories.	We are supporting organisations that seek to get those children back and reunite them with their families. I also launched a children in care initiative.	children				named origin group							non-RISS	cultural	pro-group	endorse			"The origin group mentioned is not located inside the UK. Do we still label it under ""origin group mentioned""?"	270179537
commons_2025_18596:002	Zebra	96826097	2026-06-02T07:35:12.947509Z	2026-06-02T07:35:12.947521Z	47.573	House of Commons	2025	2025-02-24	I am very grateful to my hon Friend for mentioning the children who have been abducted.	On the past two occasions I have been in Ukraine, I have met children who were viciously taken from their homes.	There was an attempt to effectively brainwash them from their histories.	We are supporting organisations that seek to get those children back and reunite them with their families. I also launched a children in care initiative.																	no group appealed		270179537
commons_2025_30142:004	Whale	97194813	2026-06-09T11:15:12.708889Z	2026-06-09T11:20:31.143029Z	404.5	House of Commons	2025	2025-03-19	My view, having had that put on a list of options when I was Chief Secretary, was that there was no way it would be right to do so.	I knew, for example, that 71% of pensioners with a disability would lose that valued and completely necessary extra funding—there was not a rationing mechanism that was efficient for the poorest pensioners.	I expected to be held to account, which was why I did not do it.	I was therefore somewhat surprised when, 25 days into a Labour Government, they reversed the policy that they had challenged me about several months before. Those of us who have been in government know that when new Ministers come to power—perhaps as innocent and heartfelt as the hon Member for Swansea West (Torsten Bell)—often ideas that have been rejected by their predecessors are put before them.	retired			disabled people						poor/low-income		non-RISS	economic	pro-group	endorse	intersectional			270179538
commons_2025_30142:004	Horse	97163198	2026-06-08T21:11:18.558128Z	2026-06-08T21:11:18.558149Z	216.717	House of Commons	2025	2025-03-19	My view, having had that put on a list of options when I was Chief Secretary, was that there was no way it would be right to do so.	I knew, for example, that 71% of pensioners with a disability would lose that valued and completely necessary extra funding—there was not a rationing mechanism that was efficient for the poorest pensioners.	I expected to be held to account, which was why I did not do it.	I was therefore somewhat surprised when, 25 days into a Labour Government, they reversed the policy that they had challenged me about several months before. Those of us who have been in government know that when new Ministers come to power—perhaps as innocent and heartfelt as the hon Member for Swansea West (Torsten Bell)—often ideas that have been rejected by their predecessors are put before them.	retired									welfare recipients		non-RISS	economic	pro-group	endorse				270179538
commons_2025_30142:004	Tiger	97158738	2026-06-08T18:16:14.801725Z	2026-06-08T18:16:14.801737Z	180.261	House of Commons	2025	2025-03-19	My view, having had that put on a list of options when I was Chief Secretary, was that there was no way it would be right to do so.	I knew, for example, that 71% of pensioners with a disability would lose that valued and completely necessary extra funding—there was not a rationing mechanism that was efficient for the poorest pensioners.	I expected to be held to account, which was why I did not do it.	I was therefore somewhat surprised when, 25 days into a Labour Government, they reversed the policy that they had challenged me about several months before. Those of us who have been in government know that when new Ministers come to power—perhaps as innocent and heartfelt as the hon Member for Swansea West (Torsten Bell)—often ideas that have been rejected by their predecessors are put before them.	retired			disabled people						poor/low-income			economic	pro-group	endorse	intersectional			270179538
commons_2025_30142:004	team	97152978	2026-06-08T15:17:02.690852Z	2026-06-08T15:17:02.690863Z	199.209	House of Commons	2025	2025-03-19	My view, having had that put on a list of options when I was Chief Secretary, was that there was no way it would be right to do so.	I knew, for example, that 71% of pensioners with a disability would lose that valued and completely necessary extra funding—there was not a rationing mechanism that was efficient for the poorest pensioners.	I expected to be held to account, which was why I did not do it.	I was therefore somewhat surprised when, 25 days into a Labour Government, they reversed the policy that they had challenged me about several months before. Those of us who have been in government know that when new Ministers come to power—perhaps as innocent and heartfelt as the hon Member for Swansea West (Torsten Bell)—often ideas that have been rejected by their predecessors are put before them.	retired			disabled people								non-RISS	economic	pro-group	endorse			What is the difference between retired and seniors (horizontal groups age)? I don't understand the pop-up instruction for retired (same for in education)	270179538
