sent_id	annotator	annotation_id	created_at	updated_at	lead_time	dataset	year	date	left_context	text	right_context	further_context	age	gender_sexuality	family	disability	ethnicity	migration	citizenship	religion	geography	education	income	occupation	other_groups	frame_flags	polarity_flags	stance_flags	focus_flags	group_appeal_detection	scheme_feedback	id
lords_2025_00941:002	Raven	97669255	2026-06-18T11:32:02.920440Z	2026-06-18T11:32:02.920453Z	106.592	House of Lords	2025	2025-01-14	This raises another issue, which I know has been raised in other areas of healthcare, of families who live across borders—if the parents live in one part of the United Kingdom and the children live in another, or if someone who has lived away from home moves back.	I do not expect an answer now, as that would be unfair, but if the noble Lord could write to noble Lords on cross-border issues, where someone has commenced care in one area but then they or their parents have moved to another area, that would be satisfactory.	We had a number of issues around this in healthcare, particularly mental health care, and it is important to resolve them.	---																		no group mentioned		271927514
lords_2025_00941:002	Zebra	97610760	2026-06-17T10:40:07.737560Z	2026-06-17T10:40:07.737570Z	67.301	House of Lords	2025	2025-01-14	This raises another issue, which I know has been raised in other areas of healthcare, of families who live across borders—if the parents live in one part of the United Kingdom and the children live in another, or if someone who has lived away from home moves back.	I do not expect an answer now, as that would be unfair, but if the noble Lord could write to noble Lords on cross-border issues, where someone has commenced care in one area but then they or their parents have moved to another area, that would be satisfactory.	We had a number of issues around this in healthcare, particularly mental health care, and it is important to resolve them.	---																		no group appealed		271927514
lords_2025_00941:002	team	97522055	2026-06-15T22:00:50.819162Z	2026-06-15T22:00:50.819191Z	1588.924	House of Lords	2025	2025-01-14	This raises another issue, which I know has been raised in other areas of healthcare, of families who live across borders—if the parents live in one part of the United Kingdom and the children live in another, or if someone who has lived away from home moves back.	I do not expect an answer now, as that would be unfair, but if the noble Lord could write to noble Lords on cross-border issues, where someone has commenced care in one area but then they or their parents have moved to another area, that would be satisfactory.	We had a number of issues around this in healthcare, particularly mental health care, and it is important to resolve them.	---			families											cultural	pro-group	endorse				271927514
commons_1980_42784:007	Raven	97669267	2026-06-18T11:32:18.708075Z	2026-06-18T11:32:18.708089Z	14.226	House of Commons	1980	1980-08-06	This provision, I need hardly add, applies to widowers as well as to widows.	The remaining amendment to clause 7 mirrors a similar provision in the Tenants' Rights Etc. (Scotland) Bill.	In broad principle it provides that a person who exercises the right to buy in England and Wales under the Housing Bill after spending time as a tenant in Scotland or Northern Ireland will be able to claim discount in respect of those periods tenancy provided that the tenancies correspond to one of the categories of tenancy in England or Wales for which discount may be claimed.	That ensures, as I feel sure the House would wish, that discount entitlement does not simply vanish if a secure tenant moves across the border in either direction. The new clause meets a commitment given to the House on Report.																		no group mentioned		271927515
commons_1980_42784:007	Zebra	97612065	2026-06-17T11:02:05.541887Z	2026-06-17T11:02:05.541905Z	13.861	House of Commons	1980	1980-08-06	This provision, I need hardly add, applies to widowers as well as to widows.	The remaining amendment to clause 7 mirrors a similar provision in the Tenants' Rights Etc. (Scotland) Bill.	In broad principle it provides that a person who exercises the right to buy in England and Wales under the Housing Bill after spending time as a tenant in Scotland or Northern Ireland will be able to claim discount in respect of those periods tenancy provided that the tenancies correspond to one of the categories of tenancy in England or Wales for which discount may be claimed.	That ensures, as I feel sure the House would wish, that discount entitlement does not simply vanish if a secure tenant moves across the border in either direction. The new clause meets a commitment given to the House on Report.													non-RISS							271927515
commons_1980_42784:007	team	97522103	2026-06-15T22:04:31.322469Z	2026-06-15T22:04:31.322479Z	218.278	House of Commons	1980	1980-08-06	This provision, I need hardly add, applies to widowers as well as to widows.	The remaining amendment to clause 7 mirrors a similar provision in the Tenants' Rights Etc. (Scotland) Bill.	In broad principle it provides that a person who exercises the right to buy in England and Wales under the Housing Bill after spending time as a tenant in Scotland or Northern Ireland will be able to claim discount in respect of those periods tenancy provided that the tenancies correspond to one of the categories of tenancy in England or Wales for which discount may be claimed.	That ensures, as I feel sure the House would wish, that discount entitlement does not simply vanish if a secure tenant moves across the border in either direction. The new clause meets a commitment given to the House on Report.			families										non-RISS	economic	pro-group	unclear	intersectional			271927515
commons_1980_46589:056	Zebra	97610248	2026-06-17T10:30:42.756795Z	2026-06-17T10:30:42.756808Z	123.091	House of Commons	1980	1980-11-11	The Bill should strike a chord in the hearts and pockets of every parent.	It will prove an effective deterrent to the intending juvenile criminal and to parents alike.	It will return responsibility to family life and discipline to dissenting households.	I ask the House to grant it a Second Reading.	teenagers												non-RISS	cultural	anti-group	endorse	multiple group appeals			271927516
commons_1980_46589:056	Whale	97561608	2026-06-16T14:25:45.080411Z	2026-06-16T14:25:45.080422Z	151.351	House of Commons	1980	1980-11-11	The Bill should strike a chord in the hearts and pockets of every parent.	It will prove an effective deterrent to the intending juvenile criminal and to parents alike.	It will return responsibility to family life and discipline to dissenting households.	I ask the House to grant it a Second Reading.	young adults													cultural	anti-group	unclear	"{""choices"":[""intersectional"",""multiple group appeals""]}"			271927516
commons_1980_46589:056	team	97522132	2026-06-15T22:06:13.628481Z	2026-06-15T22:06:13.628494Z	100.032	House of Commons	1980	1980-11-11	The Bill should strike a chord in the hearts and pockets of every parent.	It will prove an effective deterrent to the intending juvenile criminal and to parents alike.	It will return responsibility to family life and discipline to dissenting households.	I ask the House to grant it a Second Reading.			families											economic	anti-group	endorse				271927516
lords_2025_25959:005	Robin	97785188	2026-06-21T16:31:16.348128Z	2026-06-21T16:31:16.348139Z	24.172	House of Lords	2025	2025-09-16	Gypsy, Traveller and Roma parents have reported racist incidents as a reason for opting for home education for as long as I have been concerned about these communities.	One of the problems in their case is that, because the children are usually white, they are often not recognised as members of a legally defined minority ethnic group.	But they are ill-treated, ostracised and bullied for that membership just the same.	Now, we also have seen religious prejudice, incidents and taunts demoralising children and undermining their motivation. This totally belies the right to freedom of religion and belief.					named origin group									cultural	pro-group	endorse				271927517
