annotator	sent_id	updated_at	group_mentioned	group_appealed	intersectional	multiple_groups	opposed_groups	pejorative	group_tags	reasoning	polarity	stance	text	left_context	right_context	further_context	year	date	n_disagreements
gold	commons_1980_29865:006	2026-06-20 23:12:36.511786+02:00	yes	yes	no	no	no	no	['INC_PRECARIOUS', 'OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	Various commentators are suggesting that unless the Government's policies are changed we shall have 2½ million unemployed in 12 months.	It is predicted that the level of unemployment over the next few months will hit 2 million.	I suspect that changes are coming in any event.	The cheers that the Prime Minister and the Chancellor of the Exchequer get when they talk of creating an atmosphere that encourages entrepreneurs as their economic policy are not quite so full as they were 12 months ago shortly after the May 1979 election. Conservative Members must be starting to besiege the Department of Industry with pleas to save jobs in their constituencies.	1980	1980-06-18	6
gold	commons_2025_15818:005	2026-06-20 23:12:36.546585+02:00	yes	yes	yes	no	no	no	['OCC_AGRICULTURE', 'OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	Farmers are not multimillionaires.	That is why I join all Opposition Members in calling on the Government to change course immediately.	Many struggle to break even.	As my right hon Friends the Members for Beverley and Holderness and for Dumfriesshire, Clydesdale and Tweeddale (David Mundell) have said, the vast majority of returns for our farming businesses are less than 1%, yet in most cases the value of the land on which they sit will be severely affected by the IHT changes, because the threshold that the Government are bringing out is £1 million. When the average size of a farm in England is 200 acres, and we take into account the farmland, the cottage that might exist on the farm, the plant and machinery, the livestock and the growing crops or stocks that may be in store, the value will be significantly higher than £1 million.	2025	2025-02-10	4
gold	commons_2025_29424:026	2026-06-20 23:12:36.573641+02:00	yes	yes	yes	no	no	no	['DIS_DISABLED', 'OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	I welcome the investment in employment support for disabled people.	I genuinely want the right hon Lady to succeed, and I welcome her commitment today to increasing the number of reassessments and to having more of them face to face and recorded.	I welcome, of course, her reannouncing a host of things that we were doing in government.	Scrapping the work capability assessment and creating a single assessment is already Government policy that is due to come in in 2026-27. Her big idea seems to be to delay that until 2028.	2025	2025-03-18	1
gold	commons_2025_30142:004	2026-06-20 23:12:36.577384+02:00	yes	yes	yes	no	no	no	['AGE_RETIRED', 'DIS_DISABLED', 'INC_LOW_INCOME']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	I knew, for example, that 71% of pensioners with a disability would lose that valued and completely necessary extra funding—there was not a rationing mechanism that was efficient for the poorest pensioners.	My view, having had that put on a list of options when I was Chief Secretary, was that there was no way it would be right to do so.	I expected to be held to account, which was why I did not do it.	I was therefore somewhat surprised when, 25 days into a Labour Government, they reversed the policy that they had challenged me about several months before. Those of us who have been in government know that when new Ministers come to power—perhaps as innocent and heartfelt as the hon Member for Swansea West (Torsten Bell)—often ideas that have been rejected by their predecessors are put before them.	2025	2025-03-19	1
gold	commons_2025_30830:007	2026-06-20 23:12:36.581111+02:00	yes	yes	no	no	no	no	['OCC_PUBLIC_SECTOR']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	Our reps working in public services should not be suspended for raising concerns about issues such as funding across our education system.	Will the Leader of the House raise this grievous matter with Cabinet colleagues?	Can pressure be put on the multi- academy trust, which is completely unaccountable, to reinstate this representative?	I am sorry to hear about the case my hon Friend raises. She is right that our trade union representatives do an important job in our workplaces, providing a link between employer and employees, and ensuring that people have the standards and rights that they are entitled to at work, and that they are working in healthy and safe environments.	2025	2025-03-20	4
gold	commons_2025_39108:011	2026-06-20 23:12:36.588804+02:00	yes	yes	yes	no	no	no	['DIS_DISABLED', 'OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	We have delivered an extra 7,800 home adaptations through the disabled facilities grant to change the lives of thousands more disabled people for the better.	We have legislated for the first ever fair pay agreement for social care in order to tackle the 130,000 vacancies we see today.	In the Budget, the Chancellor provided the biggest increase in carer’s allowance since the 1970s, worth £2,000 a year to family carers and with an extra £3.7 billion for local authorities.	We are not hanging around on more structural reforms, either. We are introducing new standards to help people who use care, their families and providers to choose the most effective new technology as it comes on the market.	2025	2025-04-23	1
gold	commons_2025_43572:018	2026-06-20 23:12:36.596636+02:00	yes	yes	yes	yes	no	no	['OCC_AGRICULTURE', 'OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	As part of our commitment to strengthening vital sectors across the agricultural and food industries, we have also announced measures to provide stability to farmers and workers in the UK’s poultry sector.	The Government will set out our plans for further steps and detailed information on the growth and skills offer in due course, based on the findings of Skills England’s engagement over the autumn with key partners, including employers and training providers.	In February, the Government announced a five-year extension to the seasonal worker visa until the end of 2030, ensuring a reliable pipeline of workers for farms.	As in previous years, 2,000 visas have been allocated specifically for seasonal poultry workers, and annual quota reviews will balance farm support with reducing reliance on seasonal migrant labour, helping farms to grow with stability and confidence. I turn to funding.	2025	2025-05-08	3
gold	commons_2025_48916:006	2026-06-20 23:12:36.604292+02:00	yes	yes	no	no	no	no	['OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	More than half of kinship carers say that their children are not getting the help that they need in education or to access mental health, or indeed any legal advice about their rights or options.	Too often they are left to navigate complex systems with little support.	Many are forced to reduce their hours or leave work entirely, yet there is still no statutory right to paid employment leave for kinship carers.	On adoption, the situation is no less troubling. Post-adoption support is patchy at best, with some families waiting six months just for an initial assessment, and the Government have now reduced this important fund.	2025	2025-05-20	5
gold	commons_2025_60233:001	2026-06-20 23:12:36.608103+02:00	yes	yes	yes	no	no	no	['REL_JEWISH']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_UNCLEAR	As the Member of Parliament for the largest Jewish school in Europe, may I thank the Foreign Secretary for his earlier assurances on safeguarding the community in this country?	Obviously, NATO in the coming days will be another forum in which we can reach a common path towards diplomacy.	May I also commend the way in which he has diligently pursued a negotiated outcome to this destabilised situation?	He knows that it used to be said that the Israeli Prime Minister jumped to the tune of America. Now that it seems to be the other way round, what action will he take against Prime Minister Netanyahu specifically, in order to stop the destabilisation of the middle east?	2025	2025-06-23	7
gold	commons_2025_77428:046	2026-06-20 23:12:36.619588+02:00	yes	yes	yes	no	no	no	['OTH_NON_RISS', 'REL_JEWISH']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	These were a clear source of fear to the Jewish community, who were grieving just days after an unspeakable tragedy.	It was for that reason that I was so affronted by the protests that took place in the days after the attack.	The same was true on the anniversary of the 7 October attacks.	I described those protests as “un-British” and I stand by that, because those protesters showed none of the generosity of spirit that I love about this country, and they most certainly did their cause no good whatsoever. The right to protest is a fundamental freedom, but it must be balanced against the right the public have to their safety and security.	2025	2025-10-13	1
